sku,name,part_number,use_config_manage_stock,manage_stock,use_config_max_sale_qty,max_cart_qty,price
GTCS-SCM435-BO-10-60,BLACK ULTRA LOW HEAD CAP SCREW  10 X 60,GTCS10060,0,0,0,140,91
GTCS-SCM435-BO-10-65,BLACK ULTRA LOW HEAD CAP SCREW  10 X 65,GTCS10065,0,0,0,120,99
GTCS-SCM435-BO-10-70,BLACK ULTRA LOW HEAD CAP SCREW  10 X 70,GTCS10070,0,0,0,120,104
GTCS-SCM435-BO-12-12,BLACK ULTRA LOW HEAD CAP SCREW  12 X 12,GTCS12012,0,0,0,200,66
GTCS-SCM435-BO-12-14,BLACK ULTRA LOW HEAD CAP SCREW  12 X 14,GTCS12014,0,0,0,200,73
GTCS-SCM435-BO-12-15,BLACK ULTRA LOW HEAD CAP SCREW  12 X 15,GTCS12015,0,0,0,200,75
GTCS-SCM435-BO-12-16,BLACK ULTRA LOW HEAD CAP SCREW  12 X 16,GTCS12016,0,0,0,200,76
GTCS-SCM435-BO-12-20,BLACK ULTRA LOW HEAD CAP SCREW  12 X 20,GTCS12020,0,0,0,200,86
GTCS-SCM435-BO-12-25,BLACK ULTRA LOW HEAD CAP SCREW  12 X 25,GTCS12025,0,0,0,160,97
GTCS-SCM435-BO-12-30,BLACK ULTRA LOW HEAD CAP SCREW  12 X 30,GTCS12030,0,0,0,160,108
GTCS-SCM435-BO-12-35,BLACK ULTRA LOW HEAD CAP SCREW  12 X 35,GTCS12035,0,0,0,140,120
GTCS-SCM435-BO-12-40,BLACK ULTRA LOW HEAD CAP SCREW  12 X 40,GTCS12040,0,0,0,140,139
GTCS-SCM435-BO-12-45,BLACK ULTRA LOW HEAD CAP SCREW  12 X 45,GTCS12045,0,0,0,120,151
GTCS-SCM435-BO-12-50,BLACK ULTRA LOW HEAD CAP SCREW  12 X 50,GTCS12050,0,0,0,120,162
GTCS-SCM435-BO-12-55,BLACK ULTRA LOW HEAD CAP SCREW  12 X 55,GTCS12055,0,0,0,100,193
GTCS-SCM435-BO-12-60,BLACK ULTRA LOW HEAD CAP SCREW  12 X 60,GTCS12060,0,0,0,100,205
GTCS-SCM435-BO-12-65,BLACK ULTRA LOW HEAD CAP SCREW  12 X 65,GTCS12065,0,0,0,80,217
GTCS-SCM435-BO-12-70,BLACK ULTRA LOW HEAD CAP SCREW  12 X 70,GTCS12070,0,0,0,80,230
